customerid,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,age,under_30,married,number_of_dependents,satisfaction_score,customer_status,quarter,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,device_protection_plan,premium_tech_support,streaming_music,unlimited_data,monthly_charge,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
6047-YHPVI,1,United States,California,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,66,2454,Competitor offered higher download speeds,56,No,No,3,1,Churned,Q3,No,0,5,12.6,Fiber Optic,58,No,No,No,Yes,69.7,0.0,0,63.0,379.9
5380-WJKOV,1,United States,California,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,65,2941,Competitor offered higher download speeds,51,No,No,1,2,Churned,Q3,No,0,34,21.69,Fiber Optic,28,Yes,No,Yes,Yes,106.35,0.0,0,737.46,4286.71
8168-UQWWF,1,United States,California,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,Competitor offered more data,48,No,No,2,3,Churned,Q3,No,0,11,27.57,Cable,18,Yes,No,Yes,Yes,97.85,0.0,0,303.27,1408.67
7760-OYPDY,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,90,5586,Competitor offered more data,32,No,No,2,1,Churned,Q3,No,0,2,5.85,Fiber Optic,19,No,No,No,No,80.65,0.0,20,11.7,175.85
9420-LOJKX,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,82,2966,Competitor offered more data,34,No,No,1,1,Churned,Q3,No,0,15,3.96,Fiber Optic,20,No,No,Yes,Yes,99.1,0.0,0,59.4,1485.8000000000002
7495-OOKFY,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,69,5302,Competitor made better offer,74,No,Yes,1,3,Churned,Q3,Yes,1,8,48.85,Fiber Optic,17,No,No,No,Yes,80.65,0.0,0,390.8,1024.1
1658-BYGOY,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,81,3179,Competitor made better offer,71,No,No,3,2,Churned,Q3,No,0,18,11.33,Fiber Optic,52,No,No,Yes,Yes,95.45,45.61,0,203.94,1910.88
5698-BQJOH,1,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,96,5571,Price too high,41,No,No,2,3,Churned,Q3,No,0,9,27.21,Fiber Optic,29,No,No,Yes,Yes,94.4,0.0,0,244.89000000000001,1102.14
5919-TMRGD,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,87,2483,Product dissatisfaction,32,No,No,3,1,Churned,Q3,No,0,1,13.13,Fiber Optic,57,No,No,No,Yes,79.35,0.0,0,13.13,92.47999999999999
9191-MYQKX,1,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,70,3457,Service dissatisfaction,34,No,Yes,5,1,Churned,Q3,Yes,1,7,8.69,Fiber Optic,53,Yes,No,No,Yes,75.15,0.0,0,60.83,557.73
8637-XJIVR,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,86,5806,Lack of self-service on Website,34,No,No,3,1,Churned,Q3,No,0,12,25.34,Fiber Optic,56,No,No,No,No,78.95,0.0,80,304.08,1311.43
4598-XLKNJ,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,88,5337,Limited range of services,78,No,Yes,1,2,Churned,Q3,Yes,1,25,19.76,Fiber Optic,12,Yes,No,No,Yes,98.5,13.43,0,494.00000000000006,2995.07
3192-NQECA,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,Lack of affordable download/upload speed,26,Yes,Yes,0,2,Churned,Q3,Yes,4,68,14.79,Fiber Optic,47,Yes,Yes,Yes,Yes,110.0,0.0,0,1005.7199999999999,8617.57
0486-HECZI,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,75,5154,Long distance charges,37,No,Yes,1,1,Churned,Q3,No,0,55,49.06,Fiber Optic,27,No,No,No,Yes,96.75,0.0,0,2698.3,7937.2
4846-WHAFZ,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,67,2793,Extra data charges,80,No,Yes,1,2,Churned,Q3,Yes,1,37,6.33,Fiber Optic,14,No,No,No,Yes,76.5,0.0,0,234.21,3102.36
5299-RULOA,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,87,5998,Price too high,62,No,Yes,2,2,Churned,Q3,Yes,1,10,24.48,Fiber Optic,30,No,No,Yes,Yes,100.25,0.0,0,244.8,1309.45
0404-SWRVG,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,76,4415,Product dissatisfaction,21,Yes,No,2,1,Churned,Q3,No,0,3,14.6,Fiber Optic,71,No,No,Yes,Yes,74.4,8.74,0,43.8,264.61
4412-YLTKF,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638,Service dissatisfaction,72,No,No,1,1,Churned,Q3,No,0,27,3.33,Fiber Optic,18,Yes,No,No,No,78.05,0.0,10,89.91,2235.41
6207-WIOLX,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,Lack of self-service on Website,27,Yes,Yes,0,1,Churned,Q3,Yes,6,25,0.0,DSL,48,Yes,No,Yes,Yes,58.6,4.48,0,0.0,1498.17
3091-FYHKI,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,Network reliability,64,No,No,0,3,Churned,Q3,No,0,1,0.0,DSL,22,No,No,Yes,Yes,35.45,0.0,0,0.0,35.45
2372-HWUHI,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,76,2570,Don't know,45,No,No,0,3,Churned,Q3,No,0,2,46.84,DSL,3,No,No,No,Yes,44.35,0.0,0,93.68,174.93
0390-DCFDQ,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,76,3964,Don't know,76,No,Yes,2,2,Churned,Q3,Yes,1,1,15.28,Fiber Optic,30,No,No,No,Yes,70.45,0.0,0,15.28,85.73
4080-OGPJL,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,66,2662,Don't know,53,No,No,0,1,Churned,Q3,No,0,8,48.14,DSL,18,No,Yes,Yes,Yes,71.15,0.0,0,385.12,948.77
2135-RXIHG,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,Poor expertise of online support,63,No,No,0,1,Churned,Q3,No,0,1,14.12,Cable,24,No,No,No,Yes,45.65,0.0,0,14.12,59.769999999999996
3874-EQOEP,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,94,2786,Poor expertise of phone support,32,No,No,4,1,Churned,Q3,No,0,7,20.52,Cable,28,No,No,Yes,No,95.0,36.6,10,143.64,772.54
0867-MKZVY,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,Price too high,26,Yes,Yes,1,1,Churned,Q3,Yes,5,20,36.6,Fiber Optic,51,No,No,Yes,Yes,82.4,33.43,0,732.0,2290.92
3376-BMGFE,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes,1,75,4287,Product dissatisfaction,42,No,No,1,1,Churned,Q3,No,0,4,33.5,Fiber Optic,27,No,No,No,Yes,70.9,8.74,0,134.0,398.26
3445-HXXGF,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,100,5444,Service dissatisfaction,66,No,Yes,0,1,Churned,Q3,Yes,6,58,0.0,DSL,24,Yes,No,No,Yes,45.3,40.95,0,0.0,2610.25
1875-QIVME,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,83,4690,Lack of self-service on Website,26,Yes,Yes,3,3,Churned,Q3,Yes,1,2,11.51,Fiber Optic,53,Yes,Yes,Yes,Yes,104.4,45.44,0,23.02,220.38000000000002
0691-JVSYA,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,Network reliability,24,Yes,Yes,0,1,Churned,Q3,Yes,5,53,40.62,Fiber Optic,73,Yes,No,Yes,Yes,94.85,18.55,0,2152.8599999999997,7134.509999999999
2656-FMOKZ,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,99,5717,Limited range of services,70,No,No,2,2,Churned,Q3,No,0,15,44.07,Fiber Optic,19,No,No,No,Yes,74.45,0.0,0,661.05,1806.75
2070-FNEXE,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,Lack of affordable download/upload speed,77,No,No,2,2,Churned,Q3,No,0,7,26.95,Fiber Optic,18,No,No,No,No,76.45,11.05,0,188.65,681.2
6317-YPKDH,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,Long distance charges,54,No,No,0,1,Churned,Q3,No,0,1,0.0,DSL,27,No,No,No,Yes,29.95,0.0,0,0.0,29.95
9367-WXLCH,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,Extra data charges,51,No,No,2,2,Churned,Q3,No,0,8,25.73,Fiber Optic,19,No,No,Yes,Yes,84.5,33.21,0,205.84,835.28
1918-ZBFQJ,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142,Price too high,48,No,No,3,1,Churned,Q3,No,0,13,33.54,Fiber Optic,76,Yes,No,No,Yes,79.25,48.25,0,436.02,1499.42
1024-GUALD,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,Product dissatisfaction,29,Yes,Yes,0,1,Churned,Q3,Yes,4,1,0.0,DSL,29,No,No,Yes,Yes,24.8,0.0,0,0.0,24.8
2472-OVKUP,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,Yes,1,94,2283,Service dissatisfaction,39,No,Yes,2,2,Churned,Q3,Yes,5,6,42.08,Fiber Optic,29,Yes,No,Yes,Yes,91.0,0.0,0,252.48,783.48
1285-OKIPP,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,98,3394,Lack of self-service on Website,62,No,No,3,2,Churned,Q3,No,0,1,23.2,Fiber Optic,21,No,No,Yes,Yes,79.9,0.0,0,23.2,103.10000000000001
7825-ECJRF,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,71,3764,Network reliability,43,No,No,1,1,Churned,Q3,No,0,19,28.35,Fiber Optic,19,Yes,Yes,Yes,No,106.6,21.72,40,538.65,2491.38
7841-TZDMQ,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,76,2667,Don't know,19,Yes,No,0,3,Churned,Q3,No,0,2,49.81,DSL,41,No,No,Yes,Yes,46.0,0.0,0,99.62,184.12
9408-SSNVZ,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,67,2227,Don't know,39,No,No,2,2,Churned,Q3,No,0,4,29.4,Fiber Optic,17,No,No,No,Yes,70.15,21.69,0,117.6,364.26
0742-MOABM,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,82,3394,Don't know,50,No,Yes,0,2,Churned,Q3,Yes,2,4,9.67,Cable,22,No,Yes,No,Yes,50.05,0.0,0,38.68,218.03
2232-DMLXU,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,81,3638,Poor expertise of online support,22,Yes,Yes,0,2,Churned,Q3,No,0,1,35.6,DSL,58,No,No,Yes,Yes,55.2,0.0,0,35.6,90.80000000000001
8937-RDTHP,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,66,2484,Poor expertise of phone support,40,No,No,1,2,Churned,Q3,No,0,1,26.85,Fiber Optic,11,No,No,Yes,Yes,84.6,0.0,0,26.85,111.44999999999999
1251-KRREG,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,81,2556,Price too high,22,Yes,No,0,3,Churned,Q3,No,0,2,44.31,DSL,73,No,No,Yes,Yes,54.4,0.0,0,88.62,202.72
0094-OIFMO,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,85,5980,Product dissatisfaction,78,No,No,1,1,Churned,Q3,No,0,11,11.59,Fiber Optic,29,No,No,No,No,95.0,0.0,120,127.49,1367.79
9947-OTFQU,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,86,4616,Service dissatisfaction,65,No,No,0,1,Churned,Q3,No,0,15,29.11,Fiber Optic,29,No,No,No,Yes,74.4,0.0,0,436.65,1510.9499999999998
0322-YINQP,1,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,77,5687,Lack of self-service on Website,37,No,No,0,1,Churned,Q3,No,0,1,11.35,DSL,9,No,No,No,Yes,48.55,0.0,0,11.35,59.9
4629-NRXKX,1,United States,California,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,75,5687,Network reliability,47,No,Yes,0,1,Churned,Q3,Yes,1,2,46.23,Fiber Optic,21,No,No,No,Yes,70.4,0.0,0,92.46,239.61
9514-JDSKI,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,65,5828,Limited range of services,77,No,Yes,0,2,Churned,Q3,Yes,1,1,0.0,DSL,12,No,No,No,Yes,40.2,0.0,0,0.0,40.2
4959-JOSRX,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,99,4884,Lack of affordable download/upload speed,41,No,Yes,0,2,Churned,Q3,Yes,3,2,30.19,Cable,16,No,No,No,Yes,44.6,0.0,0,60.38,140.93
7273-TEFQD,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,96,2314,Long distance charges,67,No,No,0,2,Churned,Q3,No,0,3,0.0,DSL,28,Yes,No,Yes,Yes,41.15,0.0,0,0.0,132.2
3606-TWKGI,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,84,2494,Extra data charges,68,No,No,0,1,Churned,Q3,No,0,13,32.68,Cable,11,Yes,No,No,No,106.9,0.0,10,424.84,1799.1399999999999
4385-GZQXV,1,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,81,3810,Product dissatisfaction,68,No,No,0,1,Churned,Q3,No,0,16,9.43,Fiber Optic,9,No,Yes,Yes,Yes,94.45,0.0,0,150.88,1662.08
6366-ZGQGL,1,United States,California,Pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,73,5087,Service dissatisfaction,60,No,No,0,2,Churned,Q3,No,0,1,0.0,Cable,29,No,No,No,Yes,24.8,0.0,0,0.0,24.8
