gender,senior_citizen,dependents,phone_service,multiple_lines,online_security,online_backup,device_protection,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,total_charges,churn_value,cltv,under_30,married,number_of_dependents,satisfaction_score,referred_a_friend,number_of_referrals,tenure_in_months,avg_monthly_long_distance_charges,internet_type,avg_monthly_gb_download,premium_tech_support,streaming_music,unlimited_data,monthly_charge,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,81.25,1,2570,No,No,0,3,No,0,2,46.84,DSL,3,No,No,Yes,44.35,0.0,0,93.68,174.93
Female,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,1,3964,No,Yes,2,2,Yes,1,1,15.28,Fiber Optic,30,No,No,Yes,70.45,0.0,0,15.28,85.73
Female,No,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,563.65,1,2662,No,No,0,1,No,0,8,48.14,DSL,18,Yes,Yes,Yes,71.15,0.0,0,385.12,948.77
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,1,2600,No,No,0,1,No,0,1,14.12,Cable,24,No,No,Yes,45.65,0.0,0,14.12,59.769999999999996
Male,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,655.5,1,2786,No,No,4,1,No,0,7,20.52,Cable,28,No,Yes,No,95.0,36.6,10,143.64,772.54
Female,No,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,1592.35,1,5719,Yes,Yes,1,1,Yes,5,20,36.6,Fiber Optic,51,No,Yes,Yes,82.4,33.43,0,732.0,2290.92
Female,No,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),273.0,1,4287,No,No,1,1,No,0,4,33.5,Fiber Optic,27,No,No,Yes,70.9,8.74,0,134.0,398.26
Male,Yes,No,No,No phone service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,2651.2,1,5444,No,Yes,0,1,Yes,6,58,0.0,DSL,24,No,No,Yes,45.3,40.95,0,0.0,2610.25
Female,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,242.8,1,4690,Yes,Yes,3,3,Yes,1,2,11.51,Fiber Optic,53,Yes,Yes,Yes,104.4,45.44,0,23.02,220.38000000000002
Female,No,No,Yes,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),5000.2,1,4328,Yes,Yes,0,1,Yes,5,53,40.62,Fiber Optic,73,No,Yes,Yes,94.85,18.55,0,2152.8599999999997,7134.509999999999
Female,Yes,Yes,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,1145.7,1,5717,No,No,2,2,No,0,15,44.07,Fiber Optic,19,No,No,Yes,74.45,0.0,0,661.05,1806.75
Female,Yes,Yes,Yes,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),503.6,1,4419,No,No,2,2,No,0,7,26.95,Fiber Optic,18,No,No,No,76.45,11.05,0,188.65,681.2
Female,No,No,No,No phone service,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,1,4534,No,No,0,1,No,0,1,0.0,DSL,27,No,No,Yes,29.95,0.0,0,0.0,29.95
Male,No,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),662.65,1,2152,No,No,2,2,No,0,8,25.73,Fiber Optic,19,No,Yes,Yes,84.5,33.21,0,205.84,835.28
Female,No,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,1111.65,1,5142,No,No,3,1,No,0,13,33.54,Fiber Optic,76,No,No,Yes,79.25,48.25,0,436.02,1499.42
Female,No,No,No,No phone service,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,1,4851,Yes,Yes,0,1,Yes,4,1,0.0,DSL,29,No,Yes,Yes,24.8,0.0,0,0.0,24.8
Male,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,531.0,1,2283,No,Yes,2,2,Yes,5,6,42.08,Fiber Optic,29,No,Yes,Yes,91.0,0.0,0,252.48,783.48
Male,No,Yes,Yes,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,1,3394,No,No,3,2,No,0,1,23.2,Fiber Optic,21,No,Yes,Yes,79.9,0.0,0,23.2,103.10000000000001
Female,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1934.45,1,3764,No,No,1,1,No,0,19,28.35,Fiber Optic,19,Yes,Yes,No,106.6,21.72,40,538.65,2491.38
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),84.5,1,2667,Yes,No,0,3,No,0,2,49.81,DSL,41,No,Yes,Yes,46.0,0.0,0,99.62,184.12
Female,No,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,268.35,1,2227,No,No,2,2,No,0,4,29.4,Fiber Optic,17,No,No,Yes,70.15,21.69,0,117.6,364.26
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Mailed check,179.35,1,3394,No,Yes,0,2,Yes,2,4,9.67,Cable,22,Yes,No,Yes,50.05,0.0,0,38.68,218.03
Female,No,No,Yes,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,1,3638,Yes,Yes,0,2,No,0,1,35.6,DSL,58,No,Yes,Yes,55.2,0.0,0,35.6,90.80000000000001
Male,No,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,1,2484,No,No,1,2,No,0,1,26.85,Fiber Optic,11,No,Yes,Yes,84.6,0.0,0,26.85,111.44999999999999
Male,No,No,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,114.1,1,2556,Yes,No,0,3,No,0,2,44.31,DSL,73,No,Yes,Yes,54.4,0.0,0,88.62,202.72
Female,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1120.3,1,5980,No,No,1,1,No,0,11,11.59,Fiber Optic,29,No,No,No,95.0,0.0,120,127.49,1367.79
Male,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,1074.3,1,4616,No,No,0,1,No,0,15,29.11,Fiber Optic,29,No,No,Yes,74.4,0.0,0,436.65,1510.9499999999998
Male,No,No,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,1,5687,No,No,0,1,No,0,1,11.35,DSL,9,No,No,Yes,48.55,0.0,0,11.35,59.9
Female,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,147.15,1,5687,No,Yes,0,1,Yes,1,2,46.23,Fiber Optic,21,No,No,Yes,70.4,0.0,0,92.46,239.61
Male,Yes,No,No,No phone service,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,40.2,1,5828,No,Yes,0,2,Yes,1,1,0.0,DSL,12,No,No,Yes,40.2,0.0,0,0.0,40.2
Female,No,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.55,1,4884,No,Yes,0,2,Yes,3,2,30.19,Cable,16,No,No,Yes,44.6,0.0,0,60.38,140.93
Male,Yes,No,No,No phone service,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,132.2,1,2314,No,No,0,2,No,0,3,0.0,DSL,28,No,Yes,Yes,41.15,0.0,0,0.0,132.2
Male,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,1364.3,1,2494,No,No,0,1,No,0,13,32.68,Cable,11,No,No,No,106.9,0.0,10,424.84,1799.1399999999999
Female,Yes,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1511.2,1,3810,No,No,0,1,No,0,16,9.43,Fiber Optic,9,Yes,Yes,Yes,94.45,0.0,0,150.88,1662.08
Male,No,No,No,No phone service,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,1,5087,No,No,0,2,No,0,1,0.0,Cable,29,No,No,Yes,24.8,0.0,0,0.0,24.8
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,1,3338,No,No,0,2,No,0,1,44.59,Fiber Optic,41,No,No,Yes,70.6,0.0,0,44.59,115.19
Male,No,No,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,401.1,1,3676,No,Yes,0,3,Yes,1,5,42.29,Fiber Optic,16,Yes,No,Yes,85.4,45.37,0,211.45,567.1800000000001
Female,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,5624.85,1,4839,Yes,Yes,0,2,Yes,6,52,10.59,Fiber Optic,48,No,Yes,Yes,105.05,27.6,0,550.68,6147.93
Male,No,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,1779.95,1,4643,No,Yes,0,3,Yes,6,18,1.51,Fiber Optic,28,No,Yes,Yes,95.15,10.17,0,27.18,1796.96
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,1,4094,No,Yes,0,3,Yes,1,1,19.15,Fiber Optic,18,No,No,No,70.0,0.0,10,19.15,99.15
Male,Yes,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,606.55,1,4345,No,No,0,2,No,0,8,1.78,Fiber Optic,7,No,No,Yes,74.5,0.0,0,14.24,620.79
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),435.4,1,4061,No,No,0,2,No,0,10,49.58,DSL,17,No,No,Yes,44.85,0.0,0,495.79999999999995,931.1999999999999
Male,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,1712.7,1,2018,No,No,0,2,No,0,24,30.87,Fiber Optic,15,No,No,Yes,76.1,0.0,0,740.88,2453.58
Female,No,No,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,1,2565,Yes,No,0,1,No,0,1,6.19,Fiber Optic,52,No,Yes,Yes,73.6,0.0,0,6.19,79.78999999999999
Female,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,396.1,1,3677,No,No,0,3,No,0,4,31.61,Fiber Optic,2,No,No,Yes,95.45,0.0,0,126.44,522.54
Male,Yes,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,2303.35,1,4105,No,Yes,0,2,Yes,2,32,47.34,Fiber Optic,10,No,No,Yes,74.9,0.0,0,1514.88,3818.23
Male,No,No,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,415.55,1,5715,No,No,0,2,No,0,5,5.78,Fiber Optic,52,No,No,No,80.6,36.44,40,28.900000000000002,448.01
Female,No,No,Yes,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),3058.65,1,2071,No,Yes,0,1,Yes,1,38,42.14,DSL,19,Yes,Yes,Yes,80.3,0.0,0,1601.32,4659.97
Male,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,2231.05,1,2212,No,Yes,0,2,Yes,1,24,16.1,Cable,12,No,Yes,Yes,93.15,0.0,0,386.40000000000003,2617.4500000000003
Female,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),4350.1,1,4149,No,No,0,1,No,0,54,12.08,DSL,5,Yes,Yes,Yes,82.45,0.0,0,652.32,5002.42
Female,Yes,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,139.05,1,2671,No,No,0,3,No,0,2,13.17,Fiber Optic,10,No,No,Yes,70.35,0.0,0,26.34,165.39000000000001
Female,No,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,511.25,1,2473,Yes,No,0,3,No,0,7,28.62,Fiber Optic,26,No,Yes,Yes,73.85,13.03,0,200.34,698.5600000000001
Female,No,No,Yes,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,155.8,1,2683,No,No,0,1,No,0,2,5.32,Fiber Optic,20,No,No,Yes,80.6,0.0,0,10.64,166.44
Male,No,No,Yes,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),5293.95,1,4903,No,Yes,0,3,Yes,1,68,29.18,DSL,18,Yes,Yes,No,75.8,0.0,90,1984.24,7368.19
Female,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,4759.85,1,5250,Yes,No,0,1,No,0,43,12.88,Fiber Optic,59,No,Yes,Yes,104.6,0.0,0,553.84,5313.6900000000005
Male,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,6603.0,1,4352,No,Yes,0,2,Yes,2,63,48.95,Fiber Optic,13,No,Yes,Yes,103.4,0.0,0,3083.8500000000004,9686.85
Female,No,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,168.2,1,4157,No,No,0,3,No,0,2,10.53,Fiber Optic,8,No,Yes,Yes,90.4,0.0,0,21.06,189.26
Male,No,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),371.9,1,4939,Yes,Yes,0,3,Yes,5,4,28.77,Fiber Optic,19,No,Yes,Yes,84.8,0.0,0,115.08,486.97999999999996
Female,Yes,No,No,No phone service,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,840.1,1,4778,No,No,0,1,No,0,21,0.0,Cable,8,No,No,Yes,41.9,0.0,0,0.0,840.1
Female,No,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),846.0,1,3598,No,No,0,3,No,0,10,27.1,Fiber Optic,11,No,Yes,Yes,80.25,0.0,0,271.0,1117.0
Male,Yes,No,No,No phone service,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),805.1,1,2927,No,Yes,0,1,No,0,27,0.0,Cable,13,No,No,No,30.75,0.0,140,0.0,945.1
Male,No,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),492.55,1,5383,No,No,0,3,No,0,5,20.86,Fiber Optic,8,No,Yes,Yes,96.5,0.0,0,104.3,596.85
Male,No,No,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,181.5,1,3878,Yes,No,0,1,No,0,2,40.43,Cable,27,No,Yes,Yes,85.65,0.0,0,80.86,262.36
Female,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),2566.5,1,3642,No,Yes,0,3,Yes,1,25,8.91,Fiber Optic,10,Yes,Yes,Yes,104.95,0.0,0,222.75,2789.25
Male,No,No,Yes,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,50.65,1,2431,Yes,No,0,1,No,0,1,14.78,DSL,59,No,Yes,Yes,50.65,0.0,0,14.78,65.42999999999999
Male,No,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,1,3424,No,No,0,3,No,0,1,8.56,Fiber Optic,24,No,Yes,Yes,90.85,0.0,0,8.56,99.41
Female,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,4874.7,1,5502,No,Yes,0,1,Yes,2,55,42.82,Fiber Optic,27,No,No,No,85.45,0.0,90,2355.1,7319.799999999999
Female,No,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),2524.45,1,5795,No,No,0,3,No,0,34,1.55,Fiber Optic,14,No,No,Yes,73.95,0.0,0,52.7,2577.1499999999996
Male,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),7007.6,1,4020,No,Yes,0,3,Yes,2,69,48.8,Fiber Optic,26,No,Yes,Yes,99.45,0.0,0,3367.2,10374.8
Male,Yes,No,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,233.7,1,2818,No,No,0,1,No,0,3,9.22,Fiber Optic,14,No,No,Yes,81.35,0.0,0,27.660000000000004,261.36
Female,No,No,Yes,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,1845.9,1,3804,Yes,Yes,0,1,Yes,4,22,4.01,Cable,53,No,Yes,Yes,83.3,0.0,0,88.22,1934.1200000000001
Female,Yes,No,Yes,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,1,4902,No,No,0,2,No,0,1,35.09,Fiber Optic,17,No,No,No,75.3,0.0,20,35.09,130.39
Male,No,No,Yes,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),518.9,1,2887,No,No,0,3,No,0,12,11.12,DSL,14,No,No,Yes,45.4,0.0,0,133.44,652.3399999999999
Female,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,6396.45,1,4105,Yes,No,0,2,No,0,60,10.7,Fiber Optic,71,No,Yes,Yes,105.9,0.0,0,642.0,7038.45
Female,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Mailed check,69.55,1,2792,No,No,0,1,No,0,1,29.78,Fiber Optic,13,No,No,Yes,69.55,0.0,0,29.78,99.33
Female,No,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,2227.1,1,5201,No,Yes,0,1,Yes,1,28,16.85,Fiber Optic,13,No,Yes,Yes,81.05,0.0,0,471.80000000000007,2698.9
Male,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,385.9,1,4417,Yes,Yes,0,1,Yes,3,4,9.56,Fiber Optic,48,No,Yes,Yes,101.15,0.0,0,38.24,424.14
Male,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,673.25,1,2031,No,No,0,1,No,0,7,47.03,Fiber Optic,2,No,Yes,No,99.8,0.0,10,329.21000000000004,1012.46
Female,No,No,Yes,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,734.35,1,4498,No,Yes,0,1,Yes,3,13,19.05,DSL,27,No,Yes,Yes,55.95,0.0,0,247.65,982.0
Male,No,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.0,1,4877,Yes,No,0,1,No,0,1,47.22,Cable,53,No,Yes,Yes,55.0,0.0,0,47.22,102.22
Female,No,No,Yes,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.7,1,5980,No,Yes,0,1,No,0,1,21.91,Fiber Optic,8,No,No,Yes,74.7,0.0,0,21.91,96.61
Male,No,No,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,1861.5,1,4418,No,No,0,1,No,0,24,49.3,Fiber Optic,20,No,No,Yes,80.25,0.0,0,1183.1999999999998,3044.7
Male,No,No,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,453.4,1,4192,No,No,0,1,No,0,5,31.09,Fiber Optic,11,Yes,Yes,Yes,96.1,0.0,0,155.45,608.8499999999999
Female,No,No,Yes,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),994.8,1,5671,No,No,0,1,No,0,15,4.67,Fiber Optic,28,No,No,Yes,69.0,0.0,0,70.05,1064.85
Female,No,No,No,No phone service,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),2145.0,1,4926,Yes,Yes,0,1,Yes,3,48,0.0,Cable,58,No,Yes,No,45.3,0.0,140,0.0,2285.0
Female,No,No,Yes,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,680.05,1,2879,No,Yes,0,1,Yes,1,8,32.32,Cable,25,No,No,Yes,83.55,0.0,0,258.56,938.6099999999999
Male,No,No,Yes,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,1,2814,No,No,0,1,No,0,1,14.02,Fiber Optic,2,No,No,Yes,74.35,0.0,0,14.02,88.36999999999999
Female,No,No,Yes,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,139.4,1,4263,Yes,Yes,0,1,Yes,1,2,9.79,Fiber Optic,41,No,No,Yes,74.4,0.0,0,19.58,158.98000000000002
Male,No,No,No,No phone service,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),903.6,1,3099,No,No,0,3,No,0,22,0.0,DSL,16,No,Yes,Yes,43.75,0.0,0,0.0,903.6
Female,Yes,No,No,No phone service,No,Yes,No,No,No,Month-to-month,No,Electronic check,131.05,1,4099,No,No,0,2,No,0,5,0.0,DSL,26,No,No,Yes,28.45,0.0,0,0.0,131.05
